mes_vnueva;Cod_Depto;Depto;Mpio_divipola;Mpio;ciiu2dig;Ofertas_empleo;Pestaña;ciiu2dig a texto
07;0;;;;0;215;Total_Mpio_Sect_2d_Jul;Ocupaciones militares
07;0;;;;9;12;Total_Mpio_Sect_2d_Jul;Ocupaciones elementales
07;0;;;;10;30;Total_Mpio_Sect_2d_Jul;No existe
07;0;;;;42;39;Total_Mpio_Sect_2d_Jul;Empleados en trato directo con el público
07;0;;;;43;32;Total_Mpio_Sect_2d_Jul;Empleados contables y encargados del registro de materiales
07;0;;;;45;21;Total_Mpio_Sect_2d_Jul;No existe
07;0;;;;46;43;Total_Mpio_Sect_2d_Jul;No existe
07;0;;;;47;50;Total_Mpio_Sect_2d_Jul;No existe
07;0;;;;49;2;Total_Mpio_Sect_2d_Jul;No existe
07;0;;;;52;2;Total_Mpio_Sect_2d_Jul;Vendedores
07;0;;;;61;184;Total_Mpio_Sect_2d_Jul;Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado
07;0;;;;62;18;Total_Mpio_Sect_2d_Jul;Trabajadores forestales calificados pescadores y cazadores
07;0;;;;63;25;Total_Mpio_Sect_2d_Jul;Trabajadores agropecuarios pescadores cazadores y recolectores de subsistencia
07;0;;;;64;21;Total_Mpio_Sect_2d_Jul;No existe
07;0;;;;65;7;Total_Mpio_Sect_2d_Jul;No existe
07;0;;;;66;5;Total_Mpio_Sect_2d_Jul;No existe
07;0;;;;70;29;Total_Mpio_Sect_2d_Jul;No existe
07;0;;;;72;2;Total_Mpio_Sect_2d_Jul;Oficiales y operarios de la metalurgia la construcción mecánica y afines
07;0;;;;73;1903;Total_Mpio_Sect_2d_Jul;Artesanos y operarios de las artes gráficas
07;0;;;;74;2;Total_Mpio_Sect_2d_Jul;Trabajadores especializados en electricidad y la elecrotecnología
07;0;;;;78;125;Total_Mpio_Sect_2d_Jul;No existe
07;0;;;;80;226;Total_Mpio_Sect_2d_Jul;No existe
07;0;;;;81;2;Total_Mpio_Sect_2d_Jul;Operadores de instalaciones fijas y máquinas
07;0;;;;82;56;Total_Mpio_Sect_2d_Jul;Ensambladores
07;0;;;;84;2;Total_Mpio_Sect_2d_Jul;No existe
07;0;;;;85;7;Total_Mpio_Sect_2d_Jul;No existe
07;0;;;;86;364;Total_Mpio_Sect_2d_Jul;No existe
07;0;;;;93;12;Total_Mpio_Sect_2d_Jul;Peones de la minería la construcción la industria manufacturera y el transporte
07;0;;;;94;4;Total_Mpio_Sect_2d_Jul;Ayudantes de preparación de alimentos
07;0;;;;96;2;Total_Mpio_Sect_2d_Jul;Recolectores de desechos y otras ocupaciones elementales
07;0;;;;97;2;Total_Mpio_Sect_2d_Jul;No existe
07;11;BOGOTA D. C.;11001;BOGOTA D.C.;0;1315;Total_Mpio_Sect_2d_Jul;Ocupaciones militares
07;11;BOGOTA D. C.;11001;BOGOTA D.C.;1;238;Total_Mpio_Sect_2d_Jul;Directores y gerentes
07;11;BOGOTA D. C.;11001;BOGOTA D.C.;2;44;Total_Mpio_Sect_2d_Jul;Profesionales científicos e intelectuales
