mes_vnueva,Cod_Depto,Depto,Mpio_divipola,Mpio,ciiu2dig,Ofertas_empleo,sector,ciiu2dig a texto
7,0,,,,0.0,215,Total_Mpio_Sect_2d_Jul,Ocupaciones militares
7,0,,,,9.0,12,Total_Mpio_Sect_2d_Jul,Ocupaciones elementales
7,0,,,,10.0,30,Total_Mpio_Sect_2d_Jul,No existe
7,0,,,,42.0,39,Total_Mpio_Sect_2d_Jul,Empleados en trato directo con el público
7,0,,,,43.0,32,Total_Mpio_Sect_2d_Jul,Empleados contables y encargados del registro de materiales
7,0,,,,45.0,21,Total_Mpio_Sect_2d_Jul,No existe
7,0,,,,46.0,43,Total_Mpio_Sect_2d_Jul,No existe
7,0,,,,47.0,50,Total_Mpio_Sect_2d_Jul,No existe
7,0,,,,49.0,2,Total_Mpio_Sect_2d_Jul,No existe
7,0,,,,52.0,2,Total_Mpio_Sect_2d_Jul,Vendedores
7,0,,,,61.0,184,Total_Mpio_Sect_2d_Jul,Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado
7,0,,,,62.0,18,Total_Mpio_Sect_2d_Jul,Trabajadores forestales calificados pescadores y cazadores
7,0,,,,63.0,25,Total_Mpio_Sect_2d_Jul,Trabajadores agropecuarios pescadores cazadores y recolectores de subsistencia
7,0,,,,64.0,21,Total_Mpio_Sect_2d_Jul,No existe
7,0,,,,65.0,7,Total_Mpio_Sect_2d_Jul,No existe
7,0,,,,66.0,5,Total_Mpio_Sect_2d_Jul,No existe
7,0,,,,70.0,29,Total_Mpio_Sect_2d_Jul,No existe
7,0,,,,72.0,2,Total_Mpio_Sect_2d_Jul,Oficiales y operarios de la metalurgia la construcción mecánica y afines
7,0,,,,73.0,1903,Total_Mpio_Sect_2d_Jul,Artesanos y operarios de las artes gráficas
7,0,,,,74.0,2,Total_Mpio_Sect_2d_Jul,Trabajadores especializados en electricidad y la elecrotecnología
7,0,,,,78.0,125,Total_Mpio_Sect_2d_Jul,No existe
7,0,,,,80.0,226,Total_Mpio_Sect_2d_Jul,No existe
7,0,,,,81.0,2,Total_Mpio_Sect_2d_Jul,Operadores de instalaciones fijas y máquinas
7,0,,,,82.0,56,Total_Mpio_Sect_2d_Jul,Ensambladores
7,0,,,,84.0,2,Total_Mpio_Sect_2d_Jul,No existe
7,0,,,,85.0,7,Total_Mpio_Sect_2d_Jul,No existe
7,0,,,,86.0,364,Total_Mpio_Sect_2d_Jul,No existe
